ID_VUZ,Наименование,Город,Адрес,Телефон,Почта,Сайт,Описание
65,Новосибирский государственный архитектурно-строительный университет (Сибстрин),Новосибирск,"г. Новосибирск, ул. Ленинградская, д. 113",+7 (383) 266-41-25,rector@sibstrin.ru,http://www.sibstrin.ru,"Новосибирский государственный архитектурно-строительный университет (Сибстрин) - первый и долгое время единственный вуз строительного профиля на территории Сибири и Дальнего Востока. Он выпускает специалистов строительного профиля: архитекторов и строителей, специалистов в области информационных технологий."
66,Калмыцкий государственный университет имени Б.Б. Городовикова,Элиста,"г. Элиста, ул. Пушкина, д. 11     ",+7 (84722) 4-10-05,uni@kalmsu.ru,http://www.kalmsu.ru/,"Университет - крупнейшее в Калмыкии учебное заведение, ведущее подготовку специалистов по гуманитарным, педагогическим, естественно-научным, техническим, аграрным и множеству других направлений."
67,Северо-Кавказский федеральный университет,Ставрополь,"г. Ставрополь, ул. Пушкина, д. 1",+7 (8652) 95-68-08,info@ncfu.ru,http://www.ncfu.ru,"Университет готовит специалистов в области биотехнологий, нанотехнологий, информационных систем и математики, социально-гуманитарной, финансово-экономической, сферы сервиса, экологии, технологий нефтегазового комплекса."
68,Уфимский государственный авиационный технический университет,Уфа,"Республика Башкортостан, г. Уфа, ул. К. Маркса, д. 12","+7 (347) 273-79-27, +7 (347) 272-63-07",office@ugatu.su,www.ugatu.su,"Университет готовит инженеров для авиационного машиностроения, приборостроения, специалистов в области компьютерных наук, экономики и безопасности."
69,Тольяттинский государственный университет,Тольятти,"г. Тольятти, ул. Белорусская, д. 14","+7 (8482) 53-92-47, 53-94-44 ",office@tltsu.ru ,http://www.tltsu.ru/,"Крупнейший государственный вуз Тольятти готовит специалистов по гуманитарно-педагогическому, техническому и естественнонаучному направлениям."
70,Пермский государственный национальный исследовательский университет,Пермь,"г. Пермь, ул. Букирева, д. 15",+7 (342) 239-64-35,info@psu.ru,http://www.psu.ru/,"Университет дает фундаментальное образование по широкому перечню гуманитарных, естественно-научных, педагогических, экономических, юридических направлений."
71,Тихоокеанский государственный университет,Хабаровск,"г. Хабаровск, ул. Тихоокеанская, д. 136","+7 (4212) 37-51-86, +7 (4212) 72-06-84",mail@pnu.edu.ru,http://pnu.edu.ru,"Университет ведет подготовку инженеров для машиностроительных производств, транспорта, энергетики, экономистов, юристов и менеджеров."
72,Дальневосточный государственный университет путей сообщения,Хабаровск,"г. Хабаровск,  ул. Серышева, д. 47",+7 (4212) 40-72-00,root@festu.khv.ru,http://www.dvgups.ru,Ведущий технический вуз Дальневосточного региона ведет подготовку инженеров и других специалистов для железнодорожного транспорта.
73,Хабаровский государственный университет экономики и права,Хабаровск,"г. Хабаровск, ул. Тихоокеанская, д. 134",+7 (4212) 22-48-79,rector@ael.ru,http://www.ael.ru,"Университет готовит экономистов, юристов и менеджеров, а также специалистов торгового и таможенного дела, информационных систем и экономической безопасности для Дальневосточного региона."
74,Санкт-Петербургский государственный технологический институт (Технический университет),Санкт-Петербург,"г. Санкт-Петербург, Московский пр-т, д. 26",+7 (812) 316-13-12; +7 (812) 944-30-28; +7 (812) 494-92-45; +7 (812) 494-93-39,office@technolog.edu.ru,http://www.technolog.edu.ru/,"Санкт-Петербургский государственный технологический институт (Технический университет) готовит специалистов в области химии, химической технологии, биотехнологии, нанотехнологии, механики, информационных технологий, управления и экономики."
75,Петербургский государственный университет путей сообщения Императора Александра I,Санкт-Петербург,"г. Санкт-Петербург, Московский пр-т, д. 9",+7 (812) 457-82-42 ,dou@pgups.edu,http://www.pgups.ru,Петербургский государственный университет путей сообщения - одно из крупнейших высших политехнических учебных заведений транспортной отрасли.
76,Владивостокский государственный университет экономики и сервиса,Владивосток,"г. Владивосток, ул. Гоголя, д. 41",+7 (4232) 40-42-89,rectorat@vvsu.ru,http://www.vvsu.ru/,"Университет готовит специалистов в области экономики, управления, бизнеса, сервиса, информационных технологий, юриспруденции."
77,Ставропольский государственный аграрный университет,Ставрополь,"г. Ставрополь, пер. Зоотехнический, д. 12",+7 (8652) 35-22-82,inf@stgau.ru,http://www.stgau.ru,"Университет ведет подготовку специалистов по направлениям агробиологии, экологии, ветеринарной медицины, электроэнергетики, экономики, социально-культурного сервиса и туризма."
78,Воронежский государственный технический университет,Воронеж,"г. Воронеж, ул. 20 лет Октября, д. 84",+7 (473) 271-59-05,priem@vgasu.vrn.ru ,http://cchgeu.ru/,"Воронежский государственный технический университет получил статус опорного университета Воронежской области, объединив образовательный, научный, кадровый и материально-технический потенциалы двух ведущих технических вузов региона – Воронежского государственного технического университета  и Воронежского государственного архитектурно-строительного университета. Университет готовит специалистов для аэрокосмической, строительной, машиностроительной, IT, энергетической, химической, нефтегазовой отраслей региона, а также экономистов, управленцев, специалистов сервиса."
79,Российский государственный социальный университет,Москва,"г. Москва, ул. Вильгельма Пика, д. 4, стр. 1","+7 (495) 255-67-67 (Call-центр), +7 (495) 255-67-77 (приемная комиссия)",info@rgsu.net,http://www.rgsu.net,Российский государственный социальный университет – главный социальный вуз России! В РГСУ обучается 25 000 студентов по 48 направлениям подготовки бакалавриата и 32 направлениям подготовки магистратуры на 13 факультетах. При вузе ведет подготовку специалистов среднего звена Колледж РГСУ: 10 специальностей на базе 9 и 11 классов.
80,Воронежский государственный аграрный университет имени императора Петра I,Воронеж,"г. Воронеж, ул. Мичурина, д. 1",+7 (473) 253-86-31,main@vsau.ru,http://www.vsau.ru,"Университет готовит специалистов сельского, лесного и рыбного хозяйства, ветеринаров и зоотехников, геологов и специалистов нефтегазового дела, экономистов и управленцев, а также инженеров для обслуживания и разработки сельскохозяйственной техники."
81,Национальный исследовательский Томский государственный университет,Томск,"г. Томск, пр-т Ленина, д. 36",+7 (3822) 529-672,rector@tsu.ru ,http://www.tsu.ru/,"Томский государственный университет - крупнейший классический университет на востоке страны, ведет подготовку специалистов в области математики и механики, компьютерных наук, экономики и управления, юриспруденции и многим другим."
82,Ярославский государственный университет им. П.Г. Демидова,Ярославль,"г. Ярославль, ул. Советская, д .14",+7 (4852) 72-82-56,rectorat@uniyar.ac.ru,http://www.uniyar.ac.ru,"Университет ведет подготовку специалистов по естественно-научным и гуманитарным направлениям, компьютерным технологиям, экономике и юриспруденции."
83,Казанский национальный исследовательский технический университет им. А.Н. Туполева-КАИ,Казань,"г. Казань, ул. К. Маркса, д. 10",+7 (843) 231-01-09,kai@kai.ru,https://kai.ru/,"КАИ - крупнейший технологический вуз Казани и один из самых крупных и престижных в России. Университет готовит специалистов-инженеров транспортной отрасли, авиастроения, инноватики, нанотехнологий, электроники. В его стенах также готовят специалистов в области IT, приборостроения, инженеров-конструкторов, производственных экономистов и менеджеров."
84,Казанский национальный исследовательский технологический университет,Казань,"г. Казань, ул. К. Маркса, д. 68",+7 (843) 231-42-02,office@kstu.ru,http://www.kstu.ru,"Казанский национальный исследовательский технологический университет ведет историю с 1890 года – с основания Казанского соединенного промышленного училища. Современный КНИТУ – один из крупнейших научно-исследовательских и образовательных центров России. Он готовит специалистов по техническим и технологическим профилям, в сфере IT, экономике, менеджмента, по ряду гуманитарных специальностей."
85,МИРЭА – Российский технологический университет,Москва,"г. Москва, пр-т Вернадского, д. 78",+7 (495) 433-04-55,pk@mirea.ru,http://priem.mirea.ru,"Российский технологический университет является одним из лидеров в области подготовки высококвалифицированных специалистов для быстро развивающихся наукоемких отраслей науки и техники: телекоммуникаций, информационных и компьютерных технологий, автоматики, кибернетики, радиотехники и электроники, химии и биотехнологий."
86,Самарский государственный университет путей сообщения,Самара,"г. Самара, Первый Безымянный переулок, д. 16",+7(846) 255-68-75;  8 (800) 775-23-25,prkom@samgups.ru,https://www.samgups.ru/,"Университет готовит инженеров железнодорожного транспорта, а также менеджеров и экономистов отрасли."
87,Волгоградский государственный технический университет,Волгоград,"г. Волгоград, пр-т им. В. И. Ленина, д. 28",+7 (8442) 23-00-76,rector@vstu.ru,http://www.vstu.ru/,"ВолгГТУ выполняет подготовку инженерных кадров для машиностроения, химической и нефтехимической промышленности, металлообработки, автомобильного хозяйства, оборонной промышленности и других ведущих отраслей экономики страны."
88,Российский государственный гидрометеорологический университет,Санкт-Петербург,"г. Санкт-Петербург, Малоохтинский пр-т, д. 98","+7 (812) 372-50-92, +7 (812) 372-50-91",rshu@rshu.ru,http://www.rshu.ru/,"РГГМУ – единственный в России и Европе вуз, имеющий статус регионального учебного центра Всемирной Метеорологической Организации. Это первый в мире университет гидрометеорологического профиля, который готовит океанологов, гидрографов, метеорологов, экологов, специалистов по аквакультуре, экономике, филологии и художественной культуре."
89,Казанский государственный энергетический университет,Казань,"г. Казань, ул. Красносельская, д. 51",+7 (843) 519-42-23,kgeu-oso@mail.ru,http://kgeu.ru/,"Казанский государственный энергетический университет – один из лучших профильных технических вузов страны. Он ведет подготовку специалистов в сфере теплоэнергетики и электроэнергетики, а также по экономическим, гуманитарным и IT-специальностям в рамках работы на предприятии."
90,Казанский государственный аграрный университет,Казань,"г. Казань, ул. К. Маркса, д. 65",+7 (843) 236-66-51,"info@kazgau.com, info@kazgau.ru",http://kazgau.ru/,"Казанский государственный аграрный университет готовит специалистов в сфере сельского хозяйства, лесного дела, экологии, землеустройства и агроинженерии."
91,Нижегородский государственный педагогический университет имени Козьмы Минина,Нижний Новгород,"г. Нижний Новгород, ул. Ульянова, д. 1",+7 (831) 436-01-94,mininuniver@mininuniver.ru,https://www.mininuniver.ru/,"Университет выпускает педагогов, психологов и лингвистов, инженеров и управленцев, художников и дизайнеров."
92,Воронежский государственный университет,Воронеж,"г. Воронеж, Университетская пл., д. 1",+7 (473) 220-75-21,office@main.vsu.ru,http://www.vsu.ru,Воронежский государственный университет – один из ведущих классических университетов России.
93,Новосибирский государственный технический университет,Новосибирск,"г. Новосибирск, пр-т К. Маркса, д. 20","+7 (383) 346 02 31, +7 (383) 346 35 75",is@nstu.ru,http://www.nstu.ru/,"НГТУ является одним из крупнейших вузов региона. В университете осуществляется подготовка по направлениям бакалавриата, магистратуры, специалитета, которых насчитывается более 90."
94,Кубанский государственный технологический университет,Краснодар,"г. Краснодар, ул. Московская, д. 2",+7 (861) 255-03-85,adm@kgtu.kuban.ru,http://kubstu.ru/,"КубГТУ — один из крупнейших ведущих учебно-научных центров региона и России. Университет готовит специалистов для предприятий и организаций экономического, машиностроительного, технологического, энергетического, строительного, автодорожного, нефтегазодобывающего, социального профиля."
95,Новосибирский государственный университет экономики и управления (НИНХ),Новосибирск,"г. Новосибирск, Ул. Каменская 52/1",+7 (383) 211-05-00,priemc@nsuem.ru,https://nsuem.ru/,"Университет готовит экономистов, менеджеров, социологов, юристов и др. В НГУЭУ реализованы все уровни образования: среднее профессиональное, высшее (бакалавриат, специалитет, магистратура, аспирантура), а также широкий спектр программ дополнительного образования."
96,Сибирский государственный университет телекоммуникаций и информатики,Новосибирск,"г. Новосибирск, ул. Кирова, д. 86",+7 (383) 269-82-28,prikom@sibsutis.ru,https://sibsutis.ru/,"СибГУТИ, являясь уникальной для России высшей школой, располагает одним из лучших за Уралом парком специального оборудования связи, вычислительной техники последних поколений, программным обеспечением ведущих телекоммуникационных фирм."
97,Саратовский социально-экономический институт (филиал) Российского экономического университета имени Г.В. Плеханова,Саратов,"г. Саратов, ул. Радищева, д. 89",+7 (8452) 21-17-77,priemssei@ssea.runnet.ru,http://www.seun.ru/,"Саратовский социально-экономический институт (филиал) РЭУ им. Г.В. Плеханова - одно из старейших и в тоже время динамично развивающихся образовательных учреждений страны. Готовит экономистов, менеджеров, маркетологов, рекламистов, специалистов в области коммерции, прикладной информатики, таможенного дела."
98,Кемеровский институт (филиал) Российского экономического университета имени Г.В. Плеханова,Кемерово,"г. Кемерово, пр-т Кузнецкий, д. 39",+7 (3842) 75-43-98,kemerovo@rea.ru,http://kemerovorea.ru/,"Кемеровский институт (филиал) РЭУ им. Г. В. Плеханова выпускает экономистов, менеджеров, юристов, маркетологов, рекламистов, специалистов в области коммерции, прикладной информатики, юриспруденции для экономики Кузбасса."
99,Томский государственный университет систем управления и радиоэлектроники,Томск,"г. Томск, пр-т Ленина, д. 40","+7 (3822) 900-100, 8 (800) 775-90-25 (по РФ бесплатно)",priem@tusur.ru,https://abiturient.tusur.ru,"Университет ведет подготовку специалистов по самым актуальным направлениям радиотехники, электронной и вычислительной техники, программирования, автоматики и систем управления, информационных технологий, информационной безопасности, инноватики, экономики и социальной работы."
100,Самарский национальный исследовательский университет имени академика С.П. Королева,Самара,"г. Самара, Московское шоссе, д. 34","8 (800) 550-34-35, 8 (846) 334-76-05",priem@ssau.ru,http://www.ssau.ru/,"Самарский университет ведет подготовку специалистов для ракетно-космической, авиационной, радиоэлектронной, металлургической, автомобильной, инфокоммуникационной и других отраслей промышленности."
101,Поволжский государственный университет телекоммуникаций и информатики,Самара,"г. Самара, ул. Льва Толстого, д. 23 ",+7 (846) 333-58-56,priem@psati.ru,https://www.psuti.ru/,"Поволжский государственный университет телекоммуникаций и информатики известен в мире как один из четырех российских центров, ведущих научные исследования и широкомасштабную подготовку специалистов по направлениям телекоммуникации, радиотехники, информатики и экономики."
102,Балтийский федеральный университет имени Иммануила Канта,Калининград,"г. Калининград, ул. А.Невского, д. 14","+7 (4012) 59-55-96, +7 (4012) 31-33-33",post@kantiana.ru,https://www.kantiana.ru,"Университет ведет подготовку специалистов по широкому спектру направлений - гуманитарных, физико-технических, информационных, естественно-научных, экономико-управленческих."
103,Самарский государственный экономический университет,Самара,"г. Самара, ул. Советской Армии, д. 141",+7 (846) 933-87-78,rector@sseu.ru; ecun@sseu.ru,http://www.sseu.ru/,"СГЭУ - один из ведущих вузов Поволжья, выпускающих специалистов в области социальных и экономических наук."
104,Сибирский федеральный университет,Красноярск,"г. Красноярск, пр. Свободный, д. 79",+7 (391) 244-86-25,office@sfu-kras.ru,http://www.sfu-kras.ru/,"Сибирский федеральный университет проводит обучение по направлениям: информационные системы и технологии, электроэнергетика и электротехника, прикладная математика и информатика, металлургия и многим другим."
105,Московский финансово-юридический университет,Москва,"г. Москва, ул. Серпуховский вал, д. 17, корп. 1",+7 (495) 221-10-01,post@mfua.ru,http://www.mfua.ru/,"Московский финансово-юридический университет занимается подготовкой специалистов в сфере экономики и права, юриспруденции, финансов, информационных технологий и бизнеса."
106,Российский новый университет,Москва,"г. Москва, ул. Радио, д. 22",+7 (495) 727-35-35; +7 (495) 925-03-88,info@rosnou.ru,http://www.rosnou.ru,"В Российском новом университете можно получить высшее образование юриста, экономиста, инженера, бизнес-аналитика, специалиста по рекламе и связям с общественностью, менеджера по туризму, переводчика, психолога, налогового консультанта и другие."
107,Волгоградский государственный технический университет,Волгоград,"г. Волгоград, пр-т им. В. И. Ленина, д. 28",+7 (8442) 23-00-76,rector@vstu.ru,http://www.vstu.ru/,"ВолгГТУ выполняет подготовку инженерных кадров для машиностроения, химической и нефтехимической промышленности, металлообработки, автомобильного хозяйства, оборонной промышленности и других ведущих отраслей экономики страны."
108,Белгородский государственный технологический университет им. В.Г. Шухова,Белгород,"г. Белгород, ул. Костюкова, д. 46 ",+7 (4722) 55-41-03; +7 (4722) 30-99-07,rector@intbel.ru,http://www.bstu.ru/,"Главной задачей университета является подготовка высококвалифицированных специалистов, востребованных и конкурентоспособных не только на современном российском рынке труда, но и за рубежом."
109,Кемеровский государственный университет,Кемерово,"г. Кемерово, ул. Красная, д. 6",+7 (3842) 58-39-12,priem@kemsu.ru,http://www.kemsu.ru,"Университет доминирует на образовательном рынке Кузбасса по числу студентов и количеству направлений подготовки. Он готовит специалистов для разных профессиональных сфер: экономической, юридической, гуманитарной, технической, естественнонаучной."
110,Самарский государственный технический университет,Самара,"г. Самара, ул. Молодогвардейская, д. 244",+7 (846) 278-43-11; +7 (846) 242-36-91,rector@samgtu.ru,https://samgtu.ru/,"Бренд Самарского государственного технического университета является знаком качества, котирующимся во всей стране. В СамГТУ ведется подготовка специалистов для энергетической, нефтегазодобывающей, химической и нефтехимической, машиностроительной, транспортной, пищевой, оборонной отраслей, сферы информационных технологий, приборостроения, автоматизации и управления в технических системах, материаловедения и металлургии, промышленной экологии."
111,Волгоградский государственный университет,Волгоград,"г. Волгоград, пр-т Университетский, д. 100",+7 (495) 539 55 20; +7 (495) 539 55 19,priem@volsu.ru,http://www.volsu.ru,"ВолГУ готовит интеллектуальные кадры для экономики и социальной сферы Волгоградской области и Юга России по приоритетным направлениям развития науки, техники и технологий во взаимодействии с государством, бизнесом и общественностью."
112,Калининградский государственный технический университет,Калининград,"г. Калининград, Советский пр-т,  д. 1",+7 (4012) 99-59-97,pk@klgtu.ru,http://www.klgtu.ru,Университет готовит высококвалифицированных специалистов для отрасли рыбного хозяйства России.
113,Сибирский государственный университет науки и технологий им. М.Ф. Решетнева,Красноярск,"г. Красноярск, пр. им. газеты Красноярский рабочий, 31 корпус Л","+7 (391) 262-95-96, +7 (391) 291-91-75",priemsibsau@sibsau.ru,http://abiturient.sibsau.ru/,"В СибГУ готовят специалистов для космической отрасли, машиностроения, а также IT-специалистов, экономистов, финансистов, специалистов в области связей с общественностью и рекламы, менеджмента."
114,Белгородский государственный национальный исследовательский университет,Белгород,"г. Белгород, ул. Победы, д. 85 ",+7 (4722) 30-12-11,Info@bsu.edu.ru,https://www.bsu.edu.ru/bsu/,"НИУ «БелГУ»  призван решать исследовательские задачи международного и общенационального масштаба, а также готовить профессионалов, которые будут обеспечивать конкурентоспособность России и Белгородской области в глобальном социально-экономическом пространстве."
115,Нижегородский государственный технический университет им. Р.Е. Алексеева,Нижний Новгород,"г. Нижний Новгород, ул. Минина, д. 24",+7 (831) 436 23 25,nntu@nntu.ru,http://www.nntu.ru/,"В НГТУ ведется подготовка инженерных и научных кадров для промышленности России и Нижегородского региона по направлениям и специальностям, имеющим приоритетное значение для укрепления национальной безопасности и обороноспособности страны."
116,Донской государственный технический университет,Ростов-на-Дону,"г. Ростов-на-Дону, пл. Гагарина, д. 1",+7 (863) 273-85-66; +7 (863) 273-85-25,reception@donstu.ru,http://donstu.ru/,"ДГТУ занимает особое место в образовательном пространстве Юга России. Филиалы университета расположены в Азове, Таганроге, Шахтах, Волгодонске, Ставрополе, Пятигорске. Реализуемые направления подготовки и специальности востребованы на предприятиях машиностроения, авиастроения, приборостроения, станкостроения, металлургии, сельхозмашиностроения и военно-промышленного комплекса юга России."
117,Ростовский государственный экономический университет (РИНХ),Ростов-на-Дону,"г. Ростов-на-Дону, ул. Большая Садовая, д. 69",+7 (863) 263-30-80; +7 (863) 237-02-60,main@rsue.ru; pk@rsue.ru,https://rsue.ru/,РГЭУ (РИНХ) осуществляет подготовку высокоэффективных специалистов экономического и гуманитарного профиля для различных отраслей народного хозяйства.
118,Челябинский государственный университет,Челябинск,"г. Челябинск, ул. Братьев Кашириных, д. 129",+7 (351) 799-71-01,odou@csu.ru​ ,http://www.csu.ru/,"Челябинский государственный университет - это многопрофильный вуз, готовящий высококвалифицированные кадры. ЧелГУ -  член Ассоциации классических университетов России, Евразийской ассоциации университетов, Международной ассоциации университетов при ЮНЕСКО."
119,Университет при Межпарламентской Ассамблее ЕврАзЭС,Санкт-Петербург,"г. Санкт-Петербург, ул. Смолячкова, д. 16/1",+7 (812) 542-86-88; +7 (812) 541-80-00,miep.priem@mail.ru,http://www.miep.edu.ru/,"Университет при МПА ЕврАзЭС является вузом, специально нацеленным на подготовку специалистов гуманитарного профиля по самым рейтинговым и востребованным в России специальностям и направлениям: «Юриспруденция», «Бизнес-информатика», «Реклама и связи с общественностью», «Торговое дело», «Дизайн», «Декоративно-прикладное искусство и народные промыслы», «Психология», «Экономика», «Менеджмент», «Таможенное дело», «Сервис», «Туризм», «Конфликтология»."
120,Уральский государственный экономический университет,Екатеринбург,"г. Екатеринбург, ул. 8 Марта/Народной воли, д. 62/45",+7 (343) 257-02-27; +7 (343) 257-02-46,pr-com@usue.ru,http://www.usue.ru/,"УрГЭУ - это базовый, многопрофильный экономический вуз, который готовит специалистов для разных отраслей народного хозяйства, в том числе представителей бизнес-элиты и органов государственной власти."
121,Северо-Кавказский филиал Московского технического университета связи и информатики,Ростов-на-Дону,"г. Ростов-на-Дону, ул. Серафимовича, д. 62",+7 (863) 262-30-63; +7 (863) 262-33-12,mail@skf-mtusi.ru,http://www.skf-mtusi.ru/,"Северо-Кавказский филиал Московского технического университета связи и информатики готовит высококвалифицированных связистов, которые по окончании обучения занимают руководящие должности в крупных компаниях отрасли региона."
122,Саратовский государственный технический университет имени Гагарина Ю.А.,Саратов,"г. Саратов, ул. Б. Садовая, д. 127",+7 (8452) 99-86-65,cpk@sstu.ru,http://www.sstu.ru/,"Саратовский государственный технический университет имени Гагарина Ю.А. – один из крупнейших вузов России с богатой историей, мощным образовательным, научным, производственным потенциалом и огромными возможностями для самореализации."
123,Московский университет им. С.Ю. Витте,Москва,"г. Москва, 2-й Кожуховский пр., д. 12, стр. 1",+7 (495) 783-68-48,info@miemp.ru,http://www.muiv.ru,"Московский Университет им. С. Ю. Витте готовит профессионалов во всех сферах экономики и финансов, управления и юриспруденции."
124,Омский государственный университет путей сообщения,Омск,"г. Омск, пр. Маркса, д. 35",+7 (3812) 31-42-19,omgups@omgups.ru,http://omgups.ru/index.html,"Омский государственный университет путей сообщения (ОмГУПС) — одно из старейших высших учебных заведений Сибири. Его появление связано с началом строительства Транссибирской железнодорожной магистрали, вызвавшего потребность в квалифицированных специалистах, необходимых для её эксплуатации и освоения природных ресурсов Сибири. В настоящее время ОмГУПС является одним из ведущих транспортных вузов России."
125,Сибирский государственный автомобильно-дорожный университет (СибАДИ),Омск,"г. Омск, пр-т Мира, д. 5 ",+7 (3812) 65-98-81,info@sibadi.org,http://www.sibadi.org/,"СибАДИ - это инновационно-ориентированный, отраслевой вуз, который ведет подготовку инженерных кадров для автомобильно-дорожной отрасли."
126,Российский государственный университет им. А.Н. Косыгина (Технологии. Дизайн. Искусство),Москва,"г. Москва, ул. Садовническая, д. 33, стр. 1",+7 (495) 951-31-48; +7 (495) 954-28-90,priem@mail.msta.ac.ru,https://kosygin-rgu.ru/,Московский государственный университет дизайна и технологии - один из старейших университетов России. Он является одним из первых в стране вузов по подготовке специалистов для легкой промышленности.
127,Уральский государственный горный университет,Екатеринбург,"г. Екатеринбург, ул. Куйбышева, д. 30",+7 (343) 257-25-47; +7 (343) 257-22-27,office@ursmu.ru,http://www.ursmu.ru/,"В Уральском государственном горном университете молодые люди получают перспективные в современных рыночных условиях профессии. Не меньшее внимание уделяется и воспитательному процессу, творческому, духовному и патриотическому развитию студентов."
128,Калмыцкий государственный университет имени Б.Б. Городовикова,Элиста,"г. Элиста, ул. Пушкина, д. 11     ",+7 (84722) 4-10-05,uni@kalmsu.ru,http://www.kalmsu.ru/,"Университет - крупнейшее в Калмыкии учебное заведение, ведущее подготовку специалистов по гуманитарным, педагогическим, естественно-научным, техническим, аграрным и множеству других направлений."
129,Северо-Кавказский федеральный университет,Ставрополь,"г. Ставрополь, ул. Пушкина, д. 1",+7 (8652) 95-68-08,info@ncfu.ru,http://www.ncfu.ru,"Университет готовит специалистов в области биотехнологий, нанотехнологий, информационных систем и математики, социально-гуманитарной, финансово-экономической, сферы сервиса, экологии, технологий нефтегазового комплекса."
